record_id,status,published_at,sequence,title,original_url,tags,source_dir,tex_files,pdf_files,bib_files,bst_files,local_assets,article_pdf,duplicate_status,duplicate_group,canonical_record_id,duplicate_basis,metadata_match,metadata_score,metadata_candidate_count,metadata_title,metadata_published_at,metadata_sequence,metadata_original_url,metadata_tags,metadata_pdf_files,metadata_evidence,target_slug,math_section,build_engine,author_review,notes
source:1ac559aec9bb3a00,published,2015-09-15T00:10:05+09:00,1,コーシーの積分定理,https://concious4410.hatenablog.com/entry/2015/09/15/001005,数学|解析|僕のお気に入り|複素解析,2015/1__10/ar10/コーシーの積分,Cauchy-Dixon.tex,Cauchy-Dixon.pdf,,,tex_pdf,linked,unique,,,,exact,98.0,1,コーシーの積分定理,2015-09-15T00:10:05+09:00,1,https://concious4410.hatenablog.com/entry/2015/09/15/001005,数学|解析|僕のお気に入り|複素解析,Cauchy-Dixon.pdf,PDF filename exact,2015-09-15-01,解析・測度・確率,,approved,
source:f300e24ff6419cb6,published,2015-09-15T00:22:05+09:00,2,代数学の基本定理２,https://concious4410.hatenablog.com/entry/2015/09/15/002205,数学|解析|代数|複素解析,2015/11__20/ar11/複素解析と代数学の基本定理,clxanl_algfund.tex,clxanl_algfund.pdf,,,tex_pdf,linked,unique,,,,exact,100.0,1,代数学の基本定理２,2015-09-15T00:22:05+09:00,2,https://concious4410.hatenablog.com/entry/2015/09/15/002205,数学|解析|代数|複素解析,複素解析と代数学の基本定理DonaDona15-10-18.pdf,manually confirmed by original URL,2015-09-15-02,解析・測度・確率,,approved,
source:bdb54baf178a6453,published,2015-10-02T19:56:23+09:00,1,体の乗法群の有限部分群(10/03に修正),https://concious4410.hatenablog.com/entry/2015/10/02/195623,数学|代数,2015/11__20/ar12/体の乗法群,FieldGrp.tex,FieldGrp.pdf,,,tex_pdf,linked,unique,,,,exact,100.0,1,体の乗法群の有限部分群(10/03に修正),2015-10-02T19:56:23+09:00,1,https://concious4410.hatenablog.com/entry/2015/10/02/195623,数学|代数,体の乗法群の有限部分群gamma板.pdf|体の乗法群の有限部分群gamma板修正板.pdf,manually confirmed by original URL,2015-10-02-01,代数・組合せ,,approved,
source:61beac9596f124a2,published,2015-10-03T17:30:11+09:00,1,可分距離空間の閉集合全体の濃度,https://concious4410.hatenablog.com/entry/2015/10/03/173011,数学|位相空間|距離空間|可算性,2015/11__20/ar13/可分距離空間の閉集合全体の濃度,可分距離空間の閉集合全体の濃度.tex,,,,tex_only,linked,unique,,,,likely,86.0,1,可分距離空間の閉集合全体の濃度,2015-10-03T17:30:11+09:00,1,https://concious4410.hatenablog.com/entry/2015/10/03/173011,数学|位相空間|距離空間|可算性,可分距離空間の閉集合全体の濃度gamma板++.pdf,title similarity 1.00; year,2015-10-03-01,位相・距離・幾何,,approved,
article:d49d61d2a76827e5,source_missing,2015-10-09T20:20:33+09:00,1,距離空間の色々,https://concious4410.hatenablog.com/entry/2015/10/09/202033,位相空間|数学|距離空間,,,,,,none,linked,unique,,,,exact,100.0,1,距離空間の色々,2015-10-09T20:20:33+09:00,1,https://concious4410.hatenablog.com/entry/2015/10/09/202033,位相空間|数学|距離空間,距離空間と一様収束とかDona22.pdf,MT export article inventory; no linked local source,,,,not_applicable,MTエクスポートには公開記事がありますが、対応するローカルTeX・PDFは未登録です。
article:3854dfe201a48c08,source_missing,2015-10-10T21:01:04+09:00,1,閉写像によるコンパクト性の特徴付け,https://concious4410.hatenablog.com/entry/2015/10/10/210104,位相空間|数学|コンパクトネス|僕のお気に入り|固有写像,,,,,,none,linked,unique,,,,exact,100.0,1,閉写像によるコンパクト性の特徴付け,2015-10-10T21:01:04+09:00,1,https://concious4410.hatenablog.com/entry/2015/10/10/210104,位相空間|数学|コンパクトネス|僕のお気に入り|固有写像,コンパクト性と閉写像と射影beta版.pdf|コンパクト性と射影と閉写像DonaDona2.pdf,MT export article inventory; no linked local source,,,,not_applicable,MTエクスポートには公開記事がありますが、対応するローカルTeX・PDFは未登録です。
source:aba056f3c55a4695,published,2015-10-13T20:09:22+09:00,1,積分核を用いた多項式近似定理の証明,https://concious4410.hatenablog.com/entry/2015/10/13/200922,数学|解析|線形空間|実数に関連する集合論や位相,2015/11__20/ar16/積分核による近似定理の証明,app_thm_ker.tex,app_thm_ker.pdf,,,tex_pdf,linked,unique,,,,exact,100.0,1,積分核を用いた多項式近似定理の証明,2015-10-13T20:09:22+09:00,1,https://concious4410.hatenablog.com/entry/2015/10/13/200922,数学|解析|線形空間|実数に関連する集合論や位相,多項式近似定理２gamma版.pdf,manually confirmed by original URL,2015-10-13-01,解析・測度・確率,,approved,
source:98eae46d92f1c1f6,published,2015-10-18T16:42:23+09:00,1,コンパクトハウスドルフ空間と正規性と単位の分割など,https://concious4410.hatenablog.com/entry/2015/10/18/164223,位相空間|数学|コンパクトネス|局所コンパクト|正規空間,2015/11__20/ar17/コンパクトハウスドルフ区間の正規性,コンパクトハウスドルフ空間と正規性.tex,,,,tex_only,linked,unique,,,,exact,100.0,1,コンパクトハウスドルフ空間と正規性と単位の分割など,2015-10-18T16:42:23+09:00,1,https://concious4410.hatenablog.com/entry/2015/10/18/164223,位相空間|数学|コンパクトネス|局所コンパクト|正規空間,コンパクトハウスドルフ空間と正規性DD16-06-09.pdf,manually confirmed by original URL,2015-10-18-01,位相・距離・幾何,,approved,
article:5f6ca4a290d98ef8,published,2015-10-19T16:17:10+09:00,1,オイラーの公式と級数の絶対収束性,https://concious4410.hatenablog.com/entry/2015/10/19/161710,雑談|解析|数学,,,,,,none,none,unique,,,,exact,100.0,1,オイラーの公式と級数の絶対収束性,2015-10-19T16:17:10+09:00,1,https://concious4410.hatenablog.com/entry/2015/10/19/161710,雑談|解析|数学,,MT export article inventory; no linked local source,2015-10-19-01,解析・測度・確率,,approved,MTエクスポートには公開記事がありますが、対応するローカルTeX・PDFは未登録です。
source:6f1b337cf84bc3a8,published,2015-10-21T19:06:41+09:00,1,フィルターとコンパクト性,https://concious4410.hatenablog.com/entry/2015/10/21/190641,位相空間|数学|コンパクトネス,2015/11__20/ar19/位相とフィルター,位相空間とフィルター2.tex,位相空間とフィルター2.pdf,,,tex_pdf,linked,unique,,,,likely,86.0,1,フィルターとコンパクト性,2015-10-21T19:06:41+09:00,1,https://concious4410.hatenablog.com/entry/2015/10/21/190641,位相空間|数学|コンパクトネス,位相空間とフィルターDD16-06-12.pdf,title similarity 1.00; PDF similarity 0.80; year,2015-10-21-01,位相・距離・幾何,,approved,
source:750dbd0467182e72,published,2015-10-22T17:00:22+09:00,1,有限次元ベクトル空間のノルムは全部同値,https://concious4410.hatenablog.com/entry/2015/10/22/170022,位相空間|数学|線形空間|実数に関連する集合論や位相,2015/11__20/ar20/有限次元空間ののるむ,norm.tex,norm.pdf,,,tex_pdf,linked,unique,,,,exact,98.0,1,有限次元ベクトル空間のノルムは全部同値,2015-10-22T17:00:22+09:00,1,https://concious4410.hatenablog.com/entry/2015/10/22/170022,位相空間|数学|線形空間|実数に関連する集合論や位相,norm.pdf,PDF filename exact,2015-10-22-01,解析・測度・確率,,approved,
source:3555e035f78493bb,published,2015-10-24T14:02:38+09:00,1,入射角16.225°の測度論入門:-1,https://concious4410.hatenablog.com/entry/2015/10/24/140238,数学|解析|16.225|位相空間|測度論,2015/21__30/ar21/拡張された実数（−１）,extendedrealnumber.tex,extendedrealnumber.pdf,,,tex_pdf,linked,unique,,,,exact,100.0,1,入射角16.225°の測度論入門:-1,2015-10-24T14:02:38+09:00,1,https://concious4410.hatenablog.com/entry/2015/10/24/140238,数学|解析|16.225|位相空間|測度論,拡張された実数(-1)DonaDona15-10-24.pdf,manually confirmed by original URL,2015-10-24-01,解析・測度・確率,,approved,
source:5aab6e0bd2109723,published,2015-10-25T16:56:08+09:00,1,入射角16.225°の測度論入門:0,https://concious4410.hatenablog.com/entry/2015/10/25/165608,数学|解析|16.225|測度論,2015/21__30/ar22/可測空間（０）,MrcleSP.tex,MrcleSP.pdf,,,tex_pdf,linked,unique,,,,exact,100.0,1,入射角16.225°の測度論入門:0,2015-10-25T16:56:08+09:00,1,https://concious4410.hatenablog.com/entry/2015/10/25/165608,数学|解析|16.225|測度論,可測空間(0)donasona15-10-25.pdf|可測空間(0)DonaSona15-10-25.pdf,manually confirmed by original URL,2015-10-25-01,解析・測度・確率,,approved,
source:a055b249c4d807ab,published,2015-10-26T11:22:39+09:00,1,入射角16.225°の測度論入門:1,https://concious4410.hatenablog.com/entry/2015/10/26/112239,16.225|数学|解析|測度論,2015/21__30/ar23/測度空間と積分（１）,Mresp_and_mre.tex,Mresp_and_mre.pdf,,,tex_pdf,linked,unique,,,,exact,100.0,1,入射角16.225°の測度論入門:1,2015-10-26T11:22:39+09:00,1,https://concious4410.hatenablog.com/entry/2015/10/26/112239,16.225|数学|解析|測度論,測度空間と積分(1)DonaDona15-10-28.pdf,manually confirmed by original URL,2015-10-26-01,解析・測度・確率,,approved,
source:574bf82df0e97460,published,2015-10-27T16:26:51+09:00,1,バナッハの不動点定理,https://concious4410.hatenablog.com/entry/2015/10/27/162651,位相空間|数学|解析|距離空間|不動点定理,2015/21__30/ar24/バナッハの不動点定理,banach_fixpt.tex,banach_fixpt.pdf,,,tex_pdf,linked,unique,,,,likely,86.0,1,バナッハの不動点定理,2015-10-27T16:26:51+09:00,1,https://concious4410.hatenablog.com/entry/2015/10/27/162651,位相空間|数学|解析|距離空間|不動点定理,不動点定理donadona15-10-27.pdf|不動点定理DonaDona15-10-27.pdf,title similarity 1.00; year,2015-10-27-01,解析・測度・確率,,approved,
source:53063402327b9832,published,2015-10-28T21:30:25+09:00,1,リース・マルコフ・角谷の表現定理の証明（入射角16.225°の測度論入門2）,https://concious4410.hatenablog.com/entry/2015/10/28/213025,16.225|位相空間|数学|解析|測度論|局所コンパクト,2015/21__30/ar25/RMK,RMK_Rep.tex,RMK_Rep.pdf,,,tex_pdf,linked,unique,,,,exact,100.0,1,リース・マルコフ・角谷の表現定理の証明（入射角16.225°の測度論入門2）,2015-10-28T21:30:25+09:00,1,https://concious4410.hatenablog.com/entry/2015/10/28/213025,16.225|位相空間|数学|解析|測度論|局所コンパクト,リースマルコフ角谷の表現定理DD16-06-10.pdf,manually confirmed by original URL,2015-10-28-01,解析・測度・確率,,approved,
article:8f1453b814bcac2e,source_missing,2015-10-31T23:37:10+09:00,1,陰関数定理,https://concious4410.hatenablog.com/entry/2015/10/31/233710,解析|数学|位相空間|多様体論|不動点定理,,,,,,none,linked,unique,,,,exact,100.0,1,陰関数定理,2015-10-31T23:37:10+09:00,1,https://concious4410.hatenablog.com/entry/2015/10/31/233710,解析|数学|位相空間|多様体論|不動点定理,陰関数定理beta版15-10-31.pdf,MT export article inventory; no linked local source,,,,not_applicable,MTエクスポートには公開記事がありますが、対応するローカルTeX・PDFは未登録です。
source:a87ad9c8cb5cd71b,published,2015-11-06T20:36:33+09:00,1,コンパクト集合の共通部分,https://concious4410.hatenablog.com/entry/2015/11/06/203633,位相空間|数学|反例|コンパクトネス,2015/21__30/ar27/コンパクト集合の交わり,Intsct_of_cpt_sp.tex,Intsct_of_cpt_sp.pdf,,,tex_pdf,linked,unique,,,,likely,86.0,1,コンパクト集合の共通部分,2015-11-06T20:36:33+09:00,1,https://concious4410.hatenablog.com/entry/2015/11/06/203633,位相空間|数学|反例|コンパクトネス,コンパクト集合の共通部分DD15-11-06.pdf,title similarity 1.00; year,2015-11-06-01,位相・距離・幾何,,approved,
source:deb7ebe975ebc3e1,published,2015-11-06T20:51:15+09:00,2,閉写像云々とか固有写像とか,https://concious4410.hatenablog.com/entry/2015/11/06/205115,位相空間|数学|僕のお気に入り|固有写像,2015/21__30/ar28/閉写像完全写像とか/閉写像云々,closedmaps.tex,closedmaps.pdf,,,tex_pdf,linked,unique,,,,exact,98.0,1,閉写像云々とか固有写像とか,2015-11-06T20:51:15+09:00,2,https://concious4410.hatenablog.com/entry/2015/11/06/205115,位相空間|数学|僕のお気に入り|固有写像,closedmaps.pdf,PDF filename exact,2015-11-06-02,位相・距離・幾何,,approved,
source:c44f900da3afa2c0,published,2015-11-14T17:31:38+09:00,1,有限濃度の位相空間は連結なら弧状連結,https://concious4410.hatenablog.com/entry/2015/11/14/173138,数学|位相空間|連結空間,2015/21__30/ar29/有限位相空間の連結性,finitesp_conncted.tex,finitesp_conncted.pdf,,,tex_pdf,linked,unique,,,,likely,83.9,1,有限濃度の位相空間は連結なら弧状連結,2015-11-14T17:31:38+09:00,1,https://concious4410.hatenablog.com/entry/2015/11/14/173138,数学|位相空間|連結空間,有限濃度の位相空間と連結性と弧状連結性Dona15-11-14.pdf,title similarity 0.97; year,2015-11-14-01,位相・距離・幾何,,approved,
source:ba95195e5e19999e,published,2015-11-25T20:38:24+09:00,1,距離空間と位相群のルベーグの被覆補題,https://concious4410.hatenablog.com/entry/2015/11/25/203824,コンパクトネス|位相空間|数学|距離空間,2015/21__30/ar30/ルベーグの被覆補題/被覆補題3,coveringlemma3.tex,coveringlemma3.pdf,,,tex_pdf,linked,unique,,,,exact,98.0,1,距離空間と位相群のルベーグの被覆補題,2015-11-25T20:38:24+09:00,1,https://concious4410.hatenablog.com/entry/2015/11/25/203824,コンパクトネス|位相空間|数学|距離空間,ルベーグの被覆補題beta15-11-25.pdf|ルベーグの被覆補題2donadona15-12-04.pdf|coveringlemma3.pdf,PDF filename exact,2015-11-25-01,位相・距離・幾何,,approved,
article:8169d44e23a0d580,source_missing,2015-12-04T20:41:15+09:00,1,未完成(tube lemma),https://concious4410.hatenablog.com/entry/2015/12/04/204115,位相空間|コンパクトネス|未完成シリーズ,,,,,,none,linked,unique,,,,exact,100.0,1,未完成(tube lemma),2015-12-04T20:41:15+09:00,1,https://concious4410.hatenablog.com/entry/2015/12/04/204115,位相空間|コンパクトネス|未完成シリーズ,TUBElemmaアルファ15-12-04.pdf,MT export article inventory; no linked local source,,,,not_applicable,MTエクスポートには公開記事がありますが、対応するローカルTeX・PDFは未登録です。
source:e78ac508b66195ad,published,2015-12-08T16:05:08+09:00,1,ストーンチェックコンパクト化の構成,https://concious4410.hatenablog.com/entry/2015/12/08/160508,コンパクトネス|位相空間|数学|未完成シリーズ|完全正則空間,2015/31__40/ar32/Stoncech,Stonecech.tex,,,,tex_only,linked,unique,,,,likely,86.0,1,ストーンチェックコンパクト化の構成,2015-12-08T16:05:08+09:00,1,https://concious4410.hatenablog.com/entry/2015/12/08/160508,コンパクトネス|位相空間|数学|未完成シリーズ|完全正則空間,ストーンチェックコンパクト化の構成beta.pdf,title similarity 1.00; year,2015-12-08-01,位相・距離・幾何,,approved,
source:1e4a1b4241c4466a,published,2015-12-11T20:57:21+09:00,1,パラコンパクト性など：アドベントカレンダー2015,https://concious4410.hatenablog.com/entry/2015/12/11/205721,位相空間|僕のお気に入り|数学|距離空間|パラコンパクトネス,2015/31__40/ar33/パラコンパクト１,adventcalender2015.tex,adventcalender2015.pdf,,,tex_pdf,linked,unique,,,,likely,76.9,1,パラコンパクト性など：アドベントカレンダー2015,2015-12-11T20:57:21+09:00,1,https://concious4410.hatenablog.com/entry/2015/12/11/205721,位相空間|僕のお気に入り|数学|距離空間|パラコンパクトネス,adventcalender2015のやつ17-7-10.pdf,PDF similarity 0.84; year,2015-12-11-01,位相・距離・幾何,,approved,
source:7ddeb18114a5aa5c,published,2015-12-21T17:02:56+09:00,1,遺伝的正規とか完全正規,https://concious4410.hatenablog.com/entry/2015/12/21/170256,数学|位相空間|反例|正規空間,2015/31__40/ar34/高位の正規性,highnormality.tex,highnormality.pdf,,,tex_pdf,linked,unique,,,,likely,74.0,1,遺伝的正規とか完全正規,2015-12-21T17:02:56+09:00,1,https://concious4410.hatenablog.com/entry/2015/12/21/170256,数学|位相空間|反例|正規空間,遺伝的正規とか完全正規とかgamma15-12-21.pdf,title similarity 0.85; year,2015-12-21-01,位相・距離・幾何,,approved,
source:9cdbd50bd1128466,published,2015-12-21T17:06:10+09:00,2,正規性の特徴付け,https://concious4410.hatenablog.com/entry/2015/12/21/170610,位相空間|数学|未完成シリーズ|正規空間|ウリゾーン,2015/31__40/ar35/正規性の特徴づけ,normality.tex,normality.pdf,,,tex_pdf,linked,unique,,,,likely,86.0,1,正規性の特徴付け,2015-12-21T17:06:10+09:00,2,https://concious4410.hatenablog.com/entry/2015/12/21/170610,位相空間|数学|未完成シリーズ|正規空間|ウリゾーン,位相空間の正規性の特徴付けgamma15-12-21.pdf,title similarity 1.00; year,2015-12-21-02,位相・距離・幾何,,approved,
source:f01a4c0a6b798929,published,2015-12-21T17:11:44+09:00,3,The Horrible lemma,https://concious4410.hatenablog.com/entry/2015/12/21/171144,代数|数学,2015/31__40/ar36/ヤバイ補題,HorrableLem.tex,HorrableLem.pdf,,,tex_pdf,linked,unique,,,,exact,100.0,1,The Horrible lemma,2015-12-21T17:11:44+09:00,3,https://concious4410.hatenablog.com/entry/2015/12/21/171144,代数|数学,ヤバイ補題donadona15-12-21.pdf,manually confirmed by original URL,2015-12-21-03,代数・組合せ,,approved,
source:261b0bcc5e544673,published,2015-12-21T17:13:58+09:00,4,順序数の位相的重み,https://concious4410.hatenablog.com/entry/2015/12/21/171358,位相空間|数学|順序数,2015/31__40/ar37/順序数の位相的重み,weghit_of_ordinal.tex,weghit_of_ordinal.pdf,,,tex_pdf,linked,unique,,,,likely,86.0,1,順序数の位相的重み,2015-12-21T17:13:58+09:00,4,https://concious4410.hatenablog.com/entry/2015/12/21/171358,位相空間|数学|順序数,順序数の位相的重みdonadona15-12-21.pdf,title similarity 1.00; year,2015-12-21-04,位相・距離・幾何,,approved,
source:daa835436bc4af1a,published,2015-12-21T17:19:06+09:00,5,パラコンパクト性など２,https://concious4410.hatenablog.com/entry/2015/12/21/171906,パラコンパクトネス|位相空間|数学,2015/31__40/ar38/パラコンパクト２,para2.tex,para2.pdf,,,tex_pdf,linked,unique,,,,likely,73.7,1,パラコンパクト性など２,2015-12-21T17:19:06+09:00,5,https://concious4410.hatenablog.com/entry/2015/12/21/171906,パラコンパクトネス|位相空間|数学,パラコンパクトと距離付けとかGamma16-01-20.pdf,title similarity 0.84; year,2015-12-21-05,位相・距離・幾何,,approved,
source:86e67893424eb483,published,2015-12-21T17:22:40+09:00,6,パラコンパクト性など３,https://concious4410.hatenablog.com/entry/2015/12/21/172240,パラコンパクトネス|位相空間|数学,2015/31__40/ar39/パラコンパクト３,para3.tex,para3.pdf,,,tex_pdf,linked,unique,,,,likely,73.7,1,パラコンパクト性など３,2015-12-21T17:22:40+09:00,6,https://concious4410.hatenablog.com/entry/2015/12/21/172240,パラコンパクトネス|位相空間|数学,パラコンパクトとかfull-normalityとかgamma15-12-21.pdf,title similarity 0.84; year,2015-12-21-06,位相・距離・幾何,,approved,
source:17c6f50e5182405f,published,2015-12-23T21:11:21+09:00,1,未完成（接着、帰納極限、CW複体）,https://concious4410.hatenablog.com/entry/2015/12/23/211121,パラコンパクトネス|位相空間|数学|未完成シリーズ|代数的トポロジー,2015/31__40/ar40/CW複体のパラコン,Paracpt_of_CW.tex,Paracpt_of_CW.pdf,,,tex_pdf,linked,unique,,,,likely,68.0,1,未完成（接着、帰納極限、CW複体）,2015-12-23T21:11:21+09:00,1,https://concious4410.hatenablog.com/entry/2015/12/23/211121,パラコンパクトネス|位相空間|数学|未完成シリーズ|代数的トポロジー,ALPHA接着、帰納極限、CW複体ALPHA.pdf,title similarity 0.77; year,2015-12-23-01,位相・距離・幾何,,approved,
source:c15a09591d2a7762,skipped,,,body,,,2015/1__10/ar1/body,Primes_are_infjan.tex,Primes_are_infjan.pdf,,,tex_pdf,linked,duplicate,dup:5a4c05b229adb7bb,source:f9d40e7a405c6906,tex,exact,100.0,1,素数が無限に存在する事の証明,2015-08-28T17:12:02+09:00,1,https://concious4410.hatenablog.com/entry/2015/08/28/171202,数学|代数|僕のお気に入り|可算性,素数の無限性DonaDona2.pdf,inherited from canonical source:f9d40e7a405c6906,,,,not_applicable,同一SHA-256の複製候補。正本候補 source:f9d40e7a405c6906 を参照。独立記事としては移行しない。
source:1339b0a7e8fbc030,skipped,,,正規性と正則性,,,2015/1__10/ar2/正規性と正則性,normal_and_regular.tex,normal_and_regular.pdf,,,tex_pdf,none,unique,,,,unmatched,52.2,0,,,,,,,no candidate passed the matching threshold,,,,not_applicable,既公開 2015-09-01-01 の旧著者名版。本文は同一で独立記事ではないため移行対象外。
source:9b23619f1e3171ee,skipped,,,body,,,2015/1__10/ar3/body,Weierstrass_app_thm.tex,Weierstrass_app_thm.pdf,,,tex_pdf,none,unique,,,,unmatched,48.8,0,,,,,,,no candidate passed the matching threshold,,,,not_applicable,既公開 2015-09-10-01 の著者名違いの別版。独立記事ではないため移行対象外。
